Number,Year,Topic,Link PDF,Link Web Page,Title,DOI,Language Page,Authors,Keywords,Summary (in Wix Paragraf row),Copy Banner,Overview/ Gambaran Umum,@
Makalah Kebijakan No. 44,12/2021,Ketahanan Pangan & Agrikultur,https://cutt.ly/CIPS-MakalahKebijakan44,https://cutt.ly/cips-mk44,Mendorong Investasi Konstruktif di Sektor Pertanian dan Pangan di ASEAN,,Indonesia,"Azizah Nazzala Fauzi, Nisrina Nuraini Nafisah","ASEAN, pertanian, pangan, investasi pertanian, azizah, nisrina, Kerangka Kerja Ketahanan Pangan Terpadu ASEAN dan Rencana Aksi Strategis Ketahanan Pangan, ASEAN Integrated Food Security Framework, Strategic Plan of Action, AIFS-SPA FS, teknologi pertanian, CIPE, FDI, foreign direct investment, FDI pertanian, Cetak Biru Masyarakat Ekonomi ASEAN 2025, kemitraan pemerintah-swasta, agritech, Asia Tenggara, ketahanan pangan, ASEAN Economic Community Blueprint 2025","Ketahanan pangan adalah isu yang mendesak di Asia Tenggara, dengan populasinya
yang terus tumbuh, tingginya tingkat malnutrisi, menurunnya produktivitas pertanian, ditambah pandemi Covid-19 kian memperburuk situasi ketersediaan dan keterjangkauan pangan, terutama bagi masyarakat rentan. 

Kerangka Kerja Ketahanan Pangan Terpadu ASEAN dan Rencana Aksi Strategis Ketahanan Pangan yang telah disusun oleh ASEAN belum mampu mengatasi tantangan dalam menarik investasi yang konstruktif. Makalah Kebijakan ini memberikan tiga  rekomendasi kebijakan praktis untuk memperbaiki strategi ketahanan pangan ASEAN.",,,
Policy Paper No. 45,12/2021,Educations,https://cutt.ly/CIPS-PolicyPaper45,https://cutt.ly/cips-pp45,"Promoting Investments in Education in ASEAN: Inclusive Education, Cross-Border Education Programs, and ICT Capabilities",,English,Fatharani Taqisa Nadhira,"ASEAN, educations, human development index, PISA, ICT, CIPE, The ASEAN Work Plan on Education, ASEAN Socio Cultural
Community Blueprint 2025, Cambodia, Laos, Myanmar, Vietnam, higher education, edtech, education technology, corosive investment, investment","The ASEAN Work Plan on Education 2016–2020 (henceforth “the Work Plan”) was developed by the ASEAN Secretariat in 2016 to coordinate ASEAN Member States’ cooperation in improving the state of education across the region. The Work Plan lists a total of 70 proposed education projects and activities grouped into 19 priority areas under eight sub-goals. Given the number of projects and activities, this initiative undoubtedly requires a considerable amount of investment. 

However, further analysis is needed of how the Work Plan sets incentives to promote investment in the education sector. This paper analyzes whether and how the Work Plan promotes investment in education in the ASEAN Member States, focusing on three main areas: inclusive education, cross-border education programs, and ICT capacity building.",,,
Makalah Kebijakan No. 45,12/2021,Pendidikan,https://cutt.ly/CIPS-MakalahKebijakan45,https://cutt.ly/cips-mk45,"Mendorong Investasi di Sektor Pendidikan di ASEAN:
Pendidikan Inklusif, Program-Program Pendidikan Lintas Batas,
dan Pengembangan Kapasitas TIK",,Indonesia,Fatharani Taqisa Nadhira,"ASEAN, pendidikan, Rencana Kerja ASEAN di Bidang Pendidikan, Cetak Biru Komunitas Sosial Budaya ASEAN 2025, Kamboja, Laos, Myanmar, Malaysia, Thailand, Brunei, Indonesia, Timor Timur, pendidikan tinggi, ed tech, dan teknologi edukasi, investasi korosif, investasi pendidikan, investasi, ","Rencana Kerja ASEAN di Bidang Pendidikan 2016-2020 (ASEAN Work Plan on Education 2016- 2020, yang selanjutnya disebut “Rencana Kerja”) disusun oleh Sekretariat ASEAN pada tahun 2016 untuk mengatur kerja sama antar negara anggota ASEAN dalam meningkatkan sektor pendidikan di kawasan ASEAN. Di dalam Rencana Kerja tersebut, terdapat 70 proyek dan kegiatan pendidikan yang dikelompokkan ke dalam 19 area prioritas di bawah delapan sub-tujuan. Dengan jumlah proyek dan kegiatan yang sebanyak itu, inisiatif ini tentu membutuhkan jumlah investasi yang cukup besar. Namun demikian, perlu dilakukan analisis lebih lanjut terkait bagaimana Rencana Kerja ini memberikan insentif untuk mendorong investasi pada sektor pendidikan.


Makalah ini menganalisis apakah dan bagaimana Rencana Kerja ASEAN di Bidang Pendidikan mendorong investasi sektor pendidikan di negara-negara anggota ASEAN, dengan fokus pada tiga area utama: pendidikan inklusif, program-program pendidikan lintas batas, dan pengembangan kapasitas teknologi informasi dan komunikasi.",,,
Policy Paper No. 46,12/2021,Community Livelihoods,https://cutt.ly/CIPS-PolicyPaper46,https://cutt.ly/cips-pp46,"Improving Data Governance and Personal Data Protection
through ASEAN Digital Masterplan 2025",,English,Sri Handayani Nasution,"ASEAN, ASEAN Digital Masterplan 2025, digital economy, digital ecosystem, personal data protection, digital governance, investment, corrosive investment, Indonesia, Malaysia, Vietnam, ASEAN secretariat","The ASEAN digital economy is the fastest growing globally—predicted to reach a value of USD 1 trillion by 2030. ASEAN Digital Masterplan 2025 pursues its vision of ASEAN as the leading digital community and digital economic bloc, powered by secure and transformative digital services, technologies, and ecosystems. 

In this policy paper, CIPS sees governance gaps and a lack of personal data protection that will hinder the growth potential in the region. The gaps will attract corrosive investment that could hurt consumers. 

We share two policy recommendations that the ASEAN Secretariat can make to fill the gaps that will improve the digital ecosystem in ASEAN countries.",,,
Makalah Kebijakan No. 46,12/2021,Kesejahteraan Rakyat,https://cutt.ly/CIPS-MakalahKebijakan46,https://cutt.ly/cips-mk46,Tata Kelola Data dan Perlindungan Data Pribadi melalui ASEAN Digital Masterplan 2025,,Indonesia,Sri Handayani Nasution,"ASEAN, ASEAN Digital Masterplan 2025, ekonomi digital, ekosistem digital, perlindunga data pribadi, tata kelola digital, perlindungan data, gak konsumen, transfer data transnasional, Indonesia, Malaysia, Filipina, kesenjangan tata kelola data","Ekonomi digital di ASEAN bertumbuh paling pesat di dunia dengan prediksi mencapai nilai 1 triliun USD pada 2030. ASEAN Digital Masterplan 2025 dibuat untuk mewujudkan visi ASEAN sebagai komunitas dan blok ekonomi digital yang terdepan, yang didukung oleh layanan, teknologi, dan ekosistem digital yang aman dan transformatif.

Dalam Makalah Kebijakan ini CIPS melihat adanya kesenjangan tata kelola di antara negara ASEAN yang dapat menghambat potensi pertumbuhan ekonomi digital di ASEAN yang salah satunya adalah menarik investasi yang korosif.

Ada dua rekomendasi kebijakan praktis yang dapat dilakukan oleh Sekertariat ASEAN dalam meningkatkan pertumbuhan ekonomi digital di negara-negara anggota ASEAN.",,,
Policy Paper No. 47,1/2022,Food Security & Agriculture,https://cutt.ly/CIPS-PolicyPaper47,https://cutt.ly/cips-pp47,The Advent of A New Trade Governance After The Omnibus Law: Neraca Komoditas,,English,"Krisna Gupta, Deasy Pane & Donny Pasaribu","neraca komoditas, ministry of trade, omnibus law, trade policy, trade lincensing, material sources, suppy chain, export, import, foreign direct investment, Omnibus Law of Job Creation, national database, supply demand, rice, salt, sugar, beef, fisheries, consumption data, production data, ministry of agricultre, ministry of industry, harmonized system, steel industry","The complex nature of Indonesia's export and import policies has led to a lot of challenges in the past. To address these issues, the Indonesian government introduced the concept of Neraca Komoditas (NK) as part of its implementation of the 2020 Omnibus Law of Job Creation. The aim of NK is to provide data and increase licensing process transparency.

The Neraca Komoditas (NK) scheme promises to be the solution to address the complicated flow of export-import demand. However, the centralized data distribution and the plan to further expand the list of commodities covered weakens its effectiveness. This paper discusses policy recommendations to optimize the NK scheme and enable it to overcome the challenges.
",,,
Makalah Kebijakan No. 47,1/2022,Ketahanan Pangan & Agrikultur,https://cutt.ly/CIPS-MakalahKebijakan47,https://cutt.ly/cips-mk47,Lahirnya Tata Kelola Perdagangan Baru setelah Omnibus Law,,Indonesia,"Krisna Gupta, Deasy Pane & Donny Pasaribu","neraca komoditas, kementerian perdagangan, omnibus law, kebijakan perdagangan, UU Cipta Kerja, data neraca komoditas, beras, garam, gula, daging sapi, perikanan, data konsumsi, data produksi, ","Kebijakan ekspor dan impor di Indonesia telah melalui berbagai tantangan. Skema Neraca Komoditas (NK) dapat menjadi solusi untuk menyelesaikan permasalahan alur data kebutuhan ekspor-impor. Neraca Komoditas merupakan basis data terintegrasi yang berisi data tentang penawaran dan permintaan agregat berbagai jenis barang secara nasional. Basis data ini akan digunakan sebagai dasar untuk mengontrol perdagangan internasional, yaitu sebagai dasar pemberian izin impor dan ekspor dengan melacak defisit dan surplus neraca permintaan penawaran agregat. 

Namun, distribusi data yang tersentralisasi dan rencana pengimplementasian pada komoditas lainnya dapat mempengaruhi efektifitas NK. Makalah kebijakan ini mencakup rekomendasi kebijakan untuk mengoptimalkan skema NK dan menangani tantangan-tantangan tersebut.
",,,
Policy Paper No. 48,2/2022,Community Livelihoods,https://cutt.ly/CIPS-PolicyPaper48,https://cutt.ly/cips-pp48,Regulatory Reforms to Increase Women Micro-Entrepreneurs Participation in E-Commerce,,English,Siti Alifah Dina & Thomas Dewaranu,"women micro enterpreneurs, e-commerce, business, financing, omnibus law, covid-19, risk based licensing, online business, oss system, gender, job creation law, entrepreneurial, gender roles, digital economy, siti alifah dina, thomas dewaranu, ministry of trade, offline business, women","The Indonesian entrepreneurial landscape is dominated by micro-enterprises (MIEs), most of which operate informally with a high proportion of women as owners and/or workers. The majority of women micro-entrepreneurs are likely to be driven into entrepreneurship out of economic necessity. The digital economy can benefit Indonesian women’s micro-enterprises (MIEs) by reducing market entry barriers and streamlining the supply chain. 

However, regulations, traditional norms, gender roles, limited access to assets and formal education all disproportionately affect women micro-entrepreneurs. The Covid-19 pandemic exacerbated these vulnerabilities by both reducing female entrepreneur income and forcing them to disproportionately take up extra hours of domestic and care work as a result of lockdown and physical distancing measures.

This paper discusses the challenges and shares policy recommendations to empower women in e-commerce to grow their businesses in this digital era.
",,,
Makalah Kebijakan No. 48,2/2022,Kesejateraan Rakyat,https://cutt.ly/CIPS-MakalahKebijakan48,https://cutt.ly/cips-mk48,Reformasi Regulasi untuk Peningkatkan Partisipasi Pengusaha Mikro Perempuan dalam E-Commerce,,Indonesia,Siti Alifah Dina & Thomas Dewaranu,"UMKM, e-commerce, pegusaha perempuan, pengusaha mikro perempuan, akses modal, omnibus law, covid-19, usaha online, sistem oss, UU Cipta Kerja, gender, ekonomi digital, siti alifah dina, thomas dewaranu, kementerian perdagangan, kementerian koperasi dan UMKM, pembagian kerja berbasis gender, trasnformasi digital","Lanskap kewirausahaan Indonesia didominasi oleh usaha-usaha mikro, yang sebagian besar dijalankan secara informal oleh perempuan sebagai pemilik dan/atau pekerja. Namun, norma tradisional, peran gender, serta akses yang terbatas terhadap aset dan pendidikan formal secara tidak adil berdampak terhadap para pengusaha mikro perempuan. Pandemi COVID-19 semakin membuat mereka rentan karena pendapatan mereka berkurang dan mereka terpaksa harus melakukan pekerjaan rumah tangga secara ekstra akibat diberlakukannya kebijakan lockdown dan pembatasan kegiatan secara fisik. 

Ekonomi digital memiliki potensi menguntungkan usaha mikro (UMKM) perempuan di Indonesia, karena dapat mengurangi hambatan masuk pasar dan merampingkan rantai pasok. Namun, norma-norma tradisional hingga regulasi masih belum mendukung mereka. Makalah Kebijakan ini memaparkan tantangan yang dihadapi pemilik UMKM perempuan serta rekomendasi kebijakan untuk mendorong mereka dalam mengembangkan usaha melalui e-commerce.",,,
Policy Paper No. 49,3/2022,Economic Opportunities,https://cutt.ly/CIPS-PolicyPaper49New,https://cutt.ly/cips-pp49,Creating Informed Consumers: Tracking Financial Literacy Programs in Indonesia,,English,"Ajisatria Suleiman, Thomas Dewaranu & Noor Halimah Anjani","Financial Literacy, CIPS Financial Literacy, CIPS Publication, Economic Opportunities, Literasi Finansial, Personal Data, Consumer Protection, P2P Lending, Financial Education, Indonesia Financial Literacy, Financial Consumer, Financial Inclusion, OJK, Financial Literacy Program","Not all financial consumers are equipped with the necessary knowledge of the products and services that they are using. A wide gap exists between the level of financial inclusion (76.19%) and financial literacy (38.03%) in Indonesia. The wide gap between the level of financial inclusion and financial literacy in Indonesia suggests that some consumers do not have adequate knowledge about the products or services they are using and this could lead them to make poorly-informed financial decisions, incur too much debt, or even fall victim to illicit investment products. In the long run, these problems may damage consumer trust in financial services, which could hamper growth in the financial sector.

This paper attempts to track financial literacy efforts by both the Indonesia’s Financial Authority Services (Otoritas Jasa Keuangan, or OJK) and Financial Services Institutions (FSIs), and recommends practical solutions to improve their impact in creating informed financial consumers in Indonesia.

",,,
Makalah Kebijakan No. 49,3/2022,Kesejahteraan Rakyat,https://cutt.ly/CIPS-MakalahKebijakan49,https://cutt.ly/cips-mk49,Menciptakan Konsumen yang Terinformasi: Melacak Program-Program Literasi Keuangan di Indonesia,,Indonesia,"Ajisatria Suleiman, Thomas Dewaranu & Noor Halimah Anjani","Literasi keuangan, kesempatan berekonomi, literasi finansial, ojk, perlindungan konsumen, p2p lending, unit link, pendidikan keuangan, konsumen keuangan, inklusi keuangan, program literasi keuangan, lembaga jasa keuangan, Strategi Nasional Literasi Keuangan Indonesia, SNKLI, ekonomi digital, POJK","Meskipun konsumen Indonesia menggunakan dan membeli produk keuangan di berbagai platform dan layanan fintech baru, literasi keuangan masih tetap rendah. Ini adalah risiko yang sangat membutuhkan perhatian karena keputusan keuangan yang salah informasi menyebabkan utang yang tidak terkendali dan menjadi korban produk investasi ilegal. Dalam jangka panjang, risiko-risiko ini dapat merusak kepercayaan konsumen dan persepsi luas terhadap teknologi keuangan, yang menyebabkan tantangan dalam mencari pertumbuhan di sektor ini.

Makalah ini akan mengeksplorasi bagaimana regulator dapat meningkatkan literasi keuangan dan memberi konsumen pemahaman dan pengetahuan yang diperlukan tentang produk keuangan dan pengelolaan uang pribadi.",,,
Policy Paper No. 50,7/2022,Economic Opportunities,,https://cutt.ly/cips-pp50,Co-Regulation in Protecting Personal Data: The Role of Industry Associations as Potential Self-Regulatory Organizations,,English,"Ajisatria Suleiman, Pingkan Audrine, & Thomas Dewaranu","co-regulation, personal data, digital economy, personal data protection, AFTECH, OJK, Personal Data Protection Bill, GDPR, Ministry of Communication and Informatics, fintech, digital ecosystem, ICT, ","As the digital economy is growing in Indonesia at an exponential rate, there is a need to come
up with a novel approach to regulating the activities and transactions happening in this space.
This is especially true in the sphere of personal data protection, where massive amounts of
personal data are collected, processed, and stored by various entities for various purposes. It
is difficult for regulators to supervise all activities and ensure compliance with best practices
within digital platforms, both in the public and private sector. A co-regulatory approach
becomes a potential solution to this issue.",,,
Makalah Kebijakan No. 50,,,,https://cutt.ly/cips-mk50,Pengaturan Bersama dalam Perlindungan Data Pribadi: Potensi Peran Asosiasi Industri sebagai Organisasi Regulator Mandiri,,Indonesia,"Ajisatria Suleiman, Pingkan Audrine, & Thomas Dewaranu","pengaturan bersama, perlindungan data pribadi, RUU data pribadi, GDPR, Kementerian Komunikasi dan Informatika, OJK, AFTECH, AFPI, koregulasi, penelitian CIPS, ","Seiring dengan ekonomi digital di Indonesia yang mengalami pertumbuhan eksponensial,
muncul kebutuhan akan adanya sebuah pendekatan baru untuk mengatur kegiatan dan
transaksi yang dilakukan dalam ruang ini. Hal ini terutama berlaku dalam bidang perlindungan data pribadi, dimana data personal dalam jumlah yang sangat besar dikumpulkan, diproses,
dan disimpan oleh berbagai entitas untuk beragam tujuan. Adalah hal yang sulit bagi para regulator untuk mengawasi seluruh kegiatan dan memastikan kepatuhan dengan praktik-
praktik terbaik dalam platform digital, baik dalam sektor publik maupun swasta. Maka dari itu, pendekatan pengaturan bersama (koregulasi) menjadi salah satu solusi yang dapat diambil untuk menangani masalah tersebut.",,,
Policy Paper No. 51,8/2022,Food Security & Agriculture,,,Trade for Economic Recovery: Import Policies to Support Indonesia’s F&B Sector,,English,Felippa Amanta & Krisna Gupta,"Food and beverage industry, covid-19. economy recovery, backward linkages, palm oil, neraca komoditas, import policy, export policy, global value chains, trade policy, indonesian trade policy,","Food and beverage industry is one of the prioritized manufacturing sectors that can support Indonesia’s economic recovery and structural transformation post Covid-19 pandemic. In 2021, the sector contributed 6% of Indonesia’s national Gross Domestic Product and 20% of total exports to a value of $45.4 billion. The sector is dominated by micro- and small- medium enterprises and employs an aggregate of 4.6 million people, providing livelihood for many. However, the industry has experienced stagnating growth in the past two decades, particularly due to weak global value chain linkages.

This study provides two key takeaways from Indonesia’s food industry. Firstly, although the government often cites Indonesia’s downstream products to showcase Indonesia’s competitiveness in the food industry, the industry is dominated by palm oil related products. Indonesia is actually a net importer of food products if palm oil related goods are excluded from  the trade statistics. Heavy reliance on the palm oil industry skews Indonesia’s global value chain dynamics toward forward linkages (exports of raw materials) with limited backward linkages (imports of raw materials to be processed further in the country). Palm oil products are less complex compared to types of final products of the food and beverage industry, and rely mostly on Indonesia’s climatic advantage. Given the different characteristics, it is important to distinguish the palm oil industries from the other processed food and beverage manufacturing industries, if Indonesia wishes to design its policy around increasing production complexity and improving domestic value added to its food and beverage industry.",,,
Makalah Kebijakan No. 51,8/2022,Ketahanan Pangan & Agrikultur,,https://cutt.ly/cips-mk51,Perdagangan untuk Pemulihan Ekonomi: Kebijakan Impor untuk Mendukung Sektor Makanan dan Minuman Indonesia,,,,"kebijakan impor, pemulihan ekonomi, industri makanan, industri minuman, felippa amanta, krisna gupta, rantai nilai global, gvc, sistem perizinan impor,  industri minyak sawit, covid-19, pemulihan ekonomi, umkm, neraca komoditas","Industri makanan dan minuman merupakan salah satu sektor manufaktur prioritas yang
dapat menyokong pemulihan dan transformasi struktural ekonomi Indonesia pasca pandemi
COVID-19. Pada tahun 2021, sektor ini menyumbang 6% terhadap Produk Domestik Bruto
dan 20% terhadap total ekspor Indonesia senilai USD 45,4 miliar. Sektor ini didominasi oleh
usaha-usaha mikro, kecil, dan menengah, dan mempekerjakan secara keseluruhan 4,6 juta jiwa,
menjadi sumber penghidupan bagi banyak masyarakat. Kendati demikian, industri makanan
dan minuman mengalami pertumbuhan yang stagnan dalam dua dasawarsa terakhir, terutama
karena lemahnya partisipasi dalam rantai nilai global.

Studi ini menyajikan dua poin utama terkait industri makanan dan minuman Indonesia. Pertama,
meski pemerintah kerap membanggakan produk-produk hilir untuk menunjukkan daya saing
Indonesia dalam industri makanan, industri ini didominasi oleh produk-produk minyak kelapa
sawit dan turunannya. Sejatinya, Indonesia adalah net importir produk-produk makanan jika
barang-barang minyak kelapa sawit dan turunannya tidak dimasukkan ke dalam angka statistik
perdagangan. Kebergantungan yang tinggi terhadap industri minyak kelapa sawit membuat
dinamika rantai nilai global Indonesia lebih condong terhadap partisipasi ke depan (ekspor bahan
baku) dengan partisipasi ke belakang (impor bahan baku untuk diolah lebih lanjut di dalam negeri)
yang terbatas. Produk-produk minyak kelapa sawit sifatnya lebih sederhana dibandingkan
produk-produk akhir di industri makanan dan minuman, dan sebagian besar bergantung pada
keunggulan iklim Indonesia. Melihat karakteristiknya yang beragam, penting untuk membedakan
industri minyak kelapa sawit dari industri manufaktur makanan dan minuman olahan lainnya
apabila Indonesia ingin merancang kebijakan yang meningkatkan kompleksitas produksi dan
nilai tambah domestik dalam industri makanan dan minuman.

",,,
Policy Paper No. 52,2022,Food Security & Agriculture,,https://cutt.ly/cips-pp52,Technology and Knowledge Transfers to Dairy Farms: Private Sector Contribution to Improve Milk Production,,English,"Ibnu Budiman, Aditya Alta","dairy cattle, milk consumption, dairy sector, dairy supply chain, private sector role, milk collection, technology transfer, capacity building, farmers, private sector initiatives, dairy farms, fresh dairy products, ministry of agriculture, cimory, nestle ministry of finance, Koperasi Produsen Susu Giri Tani,  Frisian Flag Indonesia","Indonesia’s fresh milk production is only able to fulfil 22% of national milk demands. With
growing milk consumption and the national target of fulfilling at least 60% of national demands
from domestic production by 2025, boosting the productivity of dairy farms becomes important.
This requires more adoption of productivity-enhancing technologies, techniques, and better
farm management practices by dairy farms. However, as dairy farmers are predominantly
smallholders, investing in technologies is a challenge due to cost, small production scale, and a
lack of information and awareness.

Partnering with the private sector offers a solution, as evidenced by case studies of technology
and knowledge transfers from major milk-processing companies such as Cimory, Frisian Flag
Indonesia [FFI], and Nestlé), and international development organizations operating in West
Java and East Java. An example of collaboration is a support for digitalization in milk collection
points (MCP). The system assigns a price that reflects the quality of milk from each farmer,
therefore incentivizing investment in technology, equipment upgrading, and better management
by farmers to improve milk quality and production. Different contract mechanisms are applied
for the technology transfers—some are put alongside a supplier agreement with mandatory
supply requirements while the others are delivered as grants and loans tied to a commitment to
maintaining quality and standards.",,,
Makalah Kebijakan No. 52,Sep/2022,Ketahanan Pangan & Agrikultur,,https://cutt.ly/cips-mk52,Transfer Teknologi dan Pengetahuan untuk Peternakan Sapi Perah Kontribusi Sektor Swasta dalam Meningkatkan Produksi Susu,,Bahasa Indonesia,"Ibnu Budiman, Aditya Alta","sapi perah, kontribusi sektor swasta, konsumsi susu indonesia, harga susu, pusat pengumpulan susu, kementerian pertanian, kementerian keuangan, produksi susu, produksi susu segar, nestle, cimory, frisian flag, peternak sapi, peternak sapi perah, peternak rakyat, populasi sapi perah, Kemitraan Usaha Peternakan, Rencana Strategis Kementan, rantai pasok susu, pendeketan kemitraan,","Produksi susu segar Indonesia hanya mampu memenuhi 22% permintaan susu nasional. Dengan semakin meningkatnya konsumsi susu dan adanya target nasional agar produksi domestik dapat memenuhi setidaknya 60% permintaan nasional pada tahun 2025, adalah hal yang penting untuk meningkatkan produktivitas peternakan sapi perah. Upaya untuk menggenjot produktivitas ini membutuhkan adopsi berbagai teknologi, teknik, dan praktik manajemen peternakan yang lebih baik oleh peternakan sapi perah. Akan tetapi, karena peternak sapi perah sebagian besar adalah peternak rakyat, investasi pada teknologi menjadi suatu tantangan tersendiri karena masalah biaya, skala produksi yang kecil, serta kurangnya informasi dan kesadaran.

Dalam hal ini, menjalin kemitraan dengan sektor swasta dapat menjadi solusi, sebagaimana telah dibuktikan dalam sejumlah studi kasus terkait transfer teknologi dan pengetahuan dari perusahaan-perusahaan pengolahan besar (seperti Cimory, Frisian Flag Indonesia [FFI], dan Nestlé) dan organisasi-organisasi pembangunan internasional yang beroperasi di Jawa Barat dan Jawa Timur. Salah satu contoh kolaborasi adalah dukungan untuk upaya digitalisasi pusat pengumpulan susu (milk collection points atau MCP). Sistem digital ini menentukan harga yang mencerminkan kualitas susu setiap peternak, sehingga memberi insentif kepada mereka untuk berinvestasi pada teknologi, perbaikan peralatan, dan manajemen yang lebih baik guna meningkatkan kualitas dan produksi susunya. Berbagai mekanisme kontrak diterapkan dalam transfer teknologi—ada transfer teknologi yang diiringi dengan kesepakatan pemasok dengan persyaratan-persyaratan pemasokan yang bersifat wajib, dan ada yang diberikan sebagai hibah dan pinjaman yang terikat dengan komitmen untuk mempertahankan kualitas dan standar susu.",,,
Policy Paper No. 53,Dec/22,Educations,,https://cutt.ly/cips-pp53,Addressing the Employability of SMK Graduates through Improved English Curriculum,,English,Latasha Safira & Nadia Fairuza Azzahra,"english subject, smk, sekolah menengah kejuruan, labor market, british council, English proficiencies, vocational schools, english teaching, job market, teachers, english teachers, English for Specific Purpose, the Ministry of Education, Culture, Research and Technology, Test of English in International Communication, TOEIC","English proficiencies have been increasingly demanded by employers, especially given the increase in globalization and foreign investments and relations in Indonesia. Employers have reported that English fluency is an important skill across industries, whether as a necessity to secure a job or as a value-added, particularly for career progression and promotions. Hence, developing English competencies is important, particularly in vocational schools (Sekolah Menengah Kejuruan or SMK) that aim to prepare students directly for the job market. The effectiveness of English teaching and learning in SMK depends on the attitudes and perceptions of teachers, students, and parents.

In general, teachers and students agree that English is important to improve employability, although to varying degrees. SMK students need to meet the expected proficiency of their industry upon graduation, as 70% of graduates seek employment, rather than continue their studies in universities. Unfortunately, there remains a skill gap as both employers and teachers have revealed that SMK graduates tend to have lower English competencies than their industry requirements. As a result, this may reflect negatively on their competitiveness in the job market and thereby limit their job prospects.","English is essential for vocational school graduates for their career prospect.
However, their competencies remains low and under industry proficiency levels.
CIPS&#39; recent study, found three main challenges and recommended five practical
actions to boost English competencies in vocational schools.",,
Makalah Kebijakan No. 53,Dec/22,Pendidikan ,,https://cutt.ly/cips-mk53,Meningkatkan Kesiapan Kerja Lulusan SMK melalui Perbaikan Kurikulum Bahasa Inggris,,Bahasa Indonesia,Latasha Safira & Nadia Fairuza Azzahra,"Bahasa Inggris, SMK, Sekolah Menengah Kejuruan, British Council, sekolah kejuruan, guru Bahasa Inggris, Bahasa Inggris untuk Tujuan Khusus, Test of English in International Communication, TOEIC, kesiapan kerja, Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi, Kemdikbudristek,",,"Kemampuan bahasa Inggris sangat penting bagi lulusan Sekolah Menengah
Kejuruan (SMK) untuk bersaing di dunia kerja. Sayangnya, kompetensi mereka
masih rendah dan di bawah kebutuhan industri. Studi CIPS terbaru menemukan tiga
tantangan besar dan memberikan lima rekomendasi praktis untuk meningkatkan
kompentensi bahasa Inggris lulusan SMK.",,
Policy Paper No. 54,Jan 2023,"Agriculture, Food Security and Nutrition, Trade and Investment",,https://cutt.ly/cips-pp54,Policy Barriers to a Healthier Diet: The Case of Trade and Agriculture,,English,"Aditya Alta, Rachma Auliya, Azizah Nazzala Fauzi
","stunting, healthy diet, carbohydrate, protein, RAN-PG, RAN PASTI, agricultural policy, rice, dietary diversity, children, stunted, stunting in Indonesia, cost of healthy diet, Desirable Dietary Pattern, trade policy, import/export licenses, quantitative restrictions (quotas), non-tariff trade, rice production, rice consumption, food estate, rice self-sufficiency programs, large-scale opening of new rice fields, rice-based food assistance programs, fertilizer subsidies.","Improving nourishment and diets has become a priority for Indonesia. The stunting rate among under-five children in Indonesia at 24% is considered high and deserving of serious attention. Improving dietary diversity among children is essential to reduce the stunting rate and prevalence. Unfortunately, the Desirable Dietary Pattern (DDP) score and food supply indicate a typical Indonesian diet is severely dominated by rice and lacking in alternative sources of carbohydrates and protein. The high cost of healthy diets further complicates nutritional fulfillment as global food prices have experienced a recent sharp increase. 

Realizing the importance of nutrition fulfillment for human capital, the government has set a target of reducing the stunting rate to 14% by 2024. A number of strategies and action plans have been issued to coordinate efforts across ministries: National Strategy to Accelerate Stunting Reduction, National Action Plan for the Acceleration of Stunting Reduction in Indonesia 2021–2024 (RAN-PASTI), and National Action Plan for Food and Nutrition 2020–2024 (RAN-PG). Targets and activities in these documents reflect the multidimensional nature of food and nutrition issues, but overlook the effects of trade policy on food affordability and the agricultural policy bias towards a few staple commodities, especially rice.","Improving dietary diversity among children is essential to reduce stunting rate and prevalence. However, CIPS found that Indonesia's trade and agricultural policies are the barriers to a healthier diet.",,
